playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
darron-gibson,180.0,83.0,148,83,34,31,14,30,0,1,0.34413621287643864,24411.266666666666,0.00023482242991375014,0.4587279266045688,25562.35,0.0010612871749940773,0,27,0,0,199
darwin-machis,174.0,70.0,76,30,21,25,19,17,0,0,0.37641498405990126,36394.357142857145,0.0006576901676844211,0.7074469914675944,37419.53571428572,0.0034653216156914,12,37,3,1,200
david-abraham,187.0,85.0,255,129,52,74,15,52,1,2,0.35707713490837817,4812.914893617021,0.0002891537190483094,0.5126136599541067,5024.308510638298,0.0014020670447225183,1,35,3,0,201
david-alaba,180.0,75.0,258,155,38,65,27,11,0,0,0.3447563411713607,6704.955357142857,0.0006416304159746091,0.43012396219553445,6951.732142857143,0.002855116097677994,6,12,2,1,201
david-cobeno,189.0,82.0,157,60,45,52,1,17,0,1,0.3684642239163438,1909.8181818181818,0.00022577606853320734,0.5840745901242566,2024.4,0.000990217538488199,5,62,3,0,201
david-ducourtioux,177.0,71.0,276,81,84,111,7,41,0,0,0.334472812694927,2820.777777777778,0.0002207941697151606,0.3405978648090905,2946.9777777777776,0.0008785495611010695,9,88,1,0,201
david-gigliotti,176.0,74.0,135,35,38,62,23,33,3,1,0.3398705058837014,3550.277777777778,0.00028552344639226927,0.3828736508380159,3706.8888888888887,0.0012239721510369456,12,3,1,0,201
david-hoilett,173.0,70.0,197,61,46,90,28,16,0,0,0.33063784658376383,30075.68493150685,2.7476283813632686e-05,0.3483102002739149,31445.890410958906,0.00011163722396014545,10,60,0,1,201
david-jones,180.0,66.0,264,105,73,86,28,37,0,0,0.3312105764181633,38220.926315789475,2.0469128741727037e-05,0.37277017912843313,40016.10526315789,7.911720386925407e-05,4,94,0,0,201
david-luiz,185.0,73.0,289,182,47,60,17,70,0,0,0.3571065110028756,48876.36538461538,0.0006571743077632882,0.5640122556468593,50398.625,0.0035741800229883982,1,21,0,0,201
david-navarro,188.0,82.0,276,129,73,74,12,74,5,2,0.3576868508689084,3844.5113636363635,0.0003154851953854456,0.5331836305754277,4031.4204545454545,0.001474549454676738,1,42,3,0,201
david-rozehnal,199.0,77.0,390,181,97,112,7,41,1,1,0.3514047979447016,6101.268571428572,0.0006358552258421657,0.4760781638360519,6382.108571428572,0.003069192866015275,1,44,1,0,201
david-sauget,175.0,69.0,224,71,55,98,3,18,0,1,0.3419573564797475,3358.719298245614,0.0002644781800955812,0.42201882035817323,3512.8596491228072,0.0011092894747888472,6,32,1,0,201
david-silva_2,170.0,67.0,450,275,77,98,82,44,1,2,0.3528084904204839,39654.85496183206,0.00046302223718195176,0.5168994246160143,40917.13740458015,0.0023337606043325933,0,48,0,0,201
david-stockdale,191.0,84.0,108,43,21,44,0,4,0,0,0.325757065176653,44010.508771929824,3.4487540828973345e-05,0.3577343514003759,46098.54385964912,0.00014297752295059106,5,34,0,0,201
david-villa,175.0,69.0,553,339,107,107,281,62,2,5,0.3529941376973671,17889.039215686276,0.0016806516392173605,0.54710980367989,18466.549019607843,0.005494489925016114,2,29,3,0,201
david-yelldell,194.0,88.0,211,78,51,82,0,7,0,1,0.33583828484107364,9059.443037974683,8.962242003430217e-05,0.33799896901179816,9353.822784810127,0.0003791702668476165,5,11,2,1,201
davide-santon,187.0,77.0,171,80,38,53,1,13,0,0,0.3578853410962976,13206.015151515152,0.0002585895823452498,0.4935023589173577,13842.212121212122,0.0012278731594866754,6,53,0,0,202
dawda-bah,182.0,74.0,111,62,21,28,23,14,0,1,0.38638357041161375,3034.3611111111113,0.0005366271564547743,0.8570164333071886,3170.9166666666665,0.0026804283593848373,8,28,2,1,203
de-gea,190.0,82.0,248,136,46,66,0,6,0,0,0.3517043904999657,35226.26373626374,0.0003537758855377637,0.5270622889123867,36458.131868131866,0.0017048607110845021,5,49,0,0,204
de-la-bella,182.0,82.0,174,58,45,71,6,34,0,0,0.36755615612841064,1739.6326530612246,0.0003479200160449942,0.59993019246563,1844.142857142857,0.001573653908358876,6,68,3,0,204
de-lucas,175.0,68.0,371,140,97,134,63,81,1,3,0.3607285570575411,8872.923809523809,0.00019093394333515252,0.5354923438410489,9313.990476190476,0.0008307553614918909,0,20,3,0,204
de-marcos,180.0,76.0,206,83,53,70,27,38,0,1,0.3659630628514965,3967.865671641791,0.0003741277326463285,0.5715801659694503,4164.313432835821,0.0017582238994501495,11,9,3,0,204
dean-parrett,178.0,72.0,58,18,15,25,4,7,1,0,0.3310967372660306,36664.425531914894,0.00017822710918880458,0.39057617132179884,38402.8085106383,0.0008816924993004198,3,83,0,0,205
dean-whitehead,183.0,80.0,401,151,89,161,20,77,3,0,0.33017453777538736,40053.01136363636,4.123236158184754e-05,0.38021083050576987,41951.26136363636,0.0001856357849408097,0,81,0,0,205
